Voltage,Flow,Distan,O2,H2o,Frequency,NO
8,0.3,5,0,0,8,1.5
8,0.4,5,0,0,8,2.25
8,0.5,5,0,0,8,3.36
8,0.6,5,0,0,8,3.245
8,0.7,5,0,0,8,2.915
8,0.8,5,0,0,8,2.5
8,0.9,5,0,0,8,2.12
8,1,5,0,0,8,1.725
8,1.1,5,0,0,8,1.5
8,1.2,5,0,0,8,1.22
8,1.4,5,0,0,8,1.045
8,1.5,5,0,0,8,0.905
8,1.6,5,0,0,8,0.84
8,1.8,5,0,0,8,0.75
8,2,5,0,0,8,0.705
8,2.2,5,0,0,8,0.665
8,2.5,5,0,0,8,0.625
8,3,5,0,0,8,0.575
8,3.5,5,0,0,8,0.485
8,4,5,0,0,8,0.41
8,5,5,0,0,8,0.3
8,0.3,7,0,0,8,0.2
8,0.4,7,0,0,8,0.25
8,0.5,7,0,0,8,0.75
8,0.6,7,0,0,8,1.5
8,0.7,7,0,0,8,2.06
8,0.8,7,0,0,8,2.425
8,0.9,7,0,0,8,2.67
8,1,7,0,0,8,2.555
8,1.1,7,0,0,8,2.35
8,1.2,7,0,0,8,2.175
8,1.4,7,0,0,8,1.545
8,1.5,7,0,0,8,1.395
8,1.6,7,0,0,8,1.13
8,1.8,7,0,0,8,0.925
8,2,7,0,0,8,0.82
8,2.2,7,0,0,8,0.775
8,2.5,7,0,0,8,0.725
8,3,7,0,0,8,0.65
8,3.5,7,0,0,8,0.55
8,4,7,0,0,8,0.51
8,5,7,0,0,8,0.36
8,0.3,9,0,0,8,0.105
8,0.4,9,0,0,8,0.11
8,0.5,9,0,0,8,0.115
8,0.6,9,0,0,8,0.15
8,0.7,9,0,0,8,0.2
8,0.8,9,0,0,8,0.275
8,0.9,9,0,0,8,0.355
8,1,9,0,0,8,0.44
8,1.1,9,0,0,8,0.8
8,1.2,9,0,0,8,1.305
8,1.4,9,0,0,8,1.77
8,1.5,9,0,0,8,1.83
8,1.6,9,0,0,8,1.71
8,1.8,9,0,0,8,1.445
8,2,9,0,0,8,1.18
8,2.2,9,0,0,8,1.015
8,2.5,9,0,0,8,0.9
8,3,9,0,0,8,0.765
8,3.5,9,0,0,8,0.625
8,4,9,0,0,8,0.575
8,5,9,0,0,8,0.49
8,0.3,11,0,0,8,0.1
8,0.4,11,0,0,8,0.105
8,0.5,11,0,0,8,0.11
8,0.6,11,0,0,8,0.115
8,0.7,11,0,0,8,0.12
8,0.8,11,0,0,8,0.125
8,0.9,11,0,0,8,0.13
8,1,11,0,0,8,0.15
8,1.1,11,0,0,8,0.17
8,1.2,11,0,0,8,0.18
8,1.4,11,0,0,8,0.255
8,1.5,11,0,0,8,0.275
8,1.6,11,0,0,8,0.4
8,1.8,11,0,0,8,0.65
8,2,11,0,0,8,1.02
8,2.2,11,0,0,8,1.1
8,2.5,11,0,0,8,1.05
8,3,11,0,0,8,0.92
8,3.5,11,0,0,8,0.77
