Voltage,Flow,Distan,O2,H2o,Frequency,O
8,0.3,5,0,0,8,0.33892857
8,0.4,5,0,0,8,0.51785714
8,0.5,5,0,0,8,0.74357143
8,0.6,5,0,0,8,0.875
8,0.7,5,0,0,8,0.99178571
8,0.8,5,0,0,8,1.08571429
8,0.9,5,0,0,8,1.17178571
8,1,5,0,0,8,1.1075
8,1.1,5,0,0,8,0.99285714
8,1.2,5,0,0,8,0.84678571
8,1.3,5,0,0,8,0.72
8,1.4,5,0,0,8,0.62428571
8,1.5,5,0,0,8,0.50678571
8,1.6,5,0,0,8,0.42107143
8,1.7,5,0,0,8,0.39
8,1.8,5,0,0,8,0.32857143
8,1.9,5,0,0,8,0.29
8,2,5,0,0,8,0.255
8,2.1,5,0,0,8,0.23
8,2.2,5,0,0,8,0.20142857
8,2.3,5,0,0,8,0.17
8,2.4,5,0,0,8,0.14
8,2.5,5,0,0,8,0.11142857
8,2.6,5,0,0,8,0.095
8,2.7,5,0,0,8,0.0875
8,2.8,5,0,0,8,0.07
8,2.9,5,0,0,8,0.06
8,3,5,0,0,8,0.05107143
8,3.1,5,0,0,8,0.048
8,3.2,5,0,0,8,0.04714286
8,3.4,5,0,0,8,0.042
8,3.5,5,0,0,8,0.03928571
8,3.7,5,0,0,8,0.035
8,4,5,0,0,8,0.03178571
8,4.5,5,0,0,8,0.025
8,5,5,0,0,8,0.015
8,0.3,7,0,0,8,0.14285714
8,0.4,7,0,0,8,0.28571429
8,0.5,7,0,0,8,0.46428571
8,0.6,7,0,0,8,0.60714286
8,0.7,7,0,0,8,0.75
8,0.8,7,0,0,8,0.92857143
8,0.9,7,0,0,8,1.03571429
8,1,7,0,0,8,1.14285714
8,1.1,7,0,0,8,1.25
8,1.2,7,0,0,8,1.32142857
8,1.3,7,0,0,8,1.39
8,1.4,7,0,0,8,1.46178571
8,1.5,7,0,0,8,1.48928571
8,1.6,7,0,0,8,1.41928571
8,1.7,7,0,0,8,1.35
8,1.8,7,0,0,8,1.23214286
8,1.9,7,0,0,8,1.18
8,2,7,0,0,8,1.07785714
8,2.1,7,0,0,8,1
8,2.2,7,0,0,8,0.95535714
8,2.3,7,0,0,8,0.9
8,2.4,7,0,0,8,0.85
8,2.5,7,0,0,8,0.82142857
8,2.6,7,0,0,8,0.75
8,2.7,7,0,0,8,0.70714286
8,2.8,7,0,0,8,0.67
8,2.9,7,0,0,8,0.64
8,3,7,0,0,8,0.59714286
8,3.1,7,0,0,8,0.54
8,3.2,7,0,0,8,0.485
8,3.4,7,0,0,8,0.42
8,3.5,7,0,0,8,0.39285714
8,3.7,7,0,0,8,0.32
8,4,7,0,0,8,0.26928571
8,4.5,7,0,0,8,0.18
8,5,7,0,0,8,0.12571429
8,0.3,9,0,0,8,0.07107143
8,0.4,9,0,0,8,0.08214286
8,0.5,9,0,0,8,0.10357143
8,0.6,9,0,0,8,0.12857143
8,0.7,9,0,0,8,0.17142857
8,0.8,9,0,0,8,0.23214286
8,0.9,9,0,0,8,0.39571429
8,1,9,0,0,8,0.57142857
8,1.1,9,0,0,8,0.71428571
8,1.2,9,0,0,8,0.82142857
8,1.3,9,0,0,8,0.88
8,1.4,9,0,0,8,0.92857143
8,1.5,9,0,0,8,1.01071429
8,1.6,9,0,0,8,1.07142857
8,1.7,9,0,0,8,1.1
8,1.8,9,0,0,8,1.14642857
8,1.9,9,0,0,8,1.17
8,2,9,0,0,8,1.19642857
8,2.1,9,0,0,8,1.22
8,2.2,9,0,0,8,1.24107143
8,2.3,9,0,0,8,1.25
8,2.4,9,0,0,8,1.26
8,2.5,9,0,0,8,1.25
8,2.6,9,0,0,8,1.21
8,2.7,9,0,0,8,1.19571429
8,2.8,9,0,0,8,1.18
8,2.9,9,0,0,8,1.13
8,3,9,0,0,8,1.10178571
